dimension,segment,period,users,visits,meaningful_visits,meaningful_rate,product_visits,product_rate,catalog_landing_visits,catalog_to_product_visits,catalog_to_product_rate,intent_visits,intent_rate,intent_confidence
content,13,Все периоды,643,675,88,0.13037037037037036,87,0.1288888888888889,659,71,0.10773899848254932,0,0.0,Недостаточно данных
content,4,Все периоды,503,517,28,0.05415860735009671,26,0.05029013539651837,511,20,0.03913894324853229,3,0.005802707930367505,Недостаточно данных
content,link_in_bio,Все периоды,440,497,208,0.41851106639839036,190,0.3822937625754527,456,157,0.3442982456140351,9,0.018108651911468814,Недостаточно данных
content,2,Все периоды,461,477,165,0.34591194968553457,162,0.33962264150943394,371,56,0.1509433962264151,3,0.006289308176100629,Недостаточно данных
content,11,Все периоды,418,433,14,0.03233256351039261,10,0.023094688221709007,430,6,0.013953488372093023,2,0.004618937644341801,Недостаточно данных
content,1,Все периоды,368,376,50,0.13297872340425532,47,0.125,356,27,0.07584269662921349,1,0.0026595744680851063,Недостаточно данных
content,10,Все периоды,247,253,12,0.04743083003952569,10,0.039525691699604744,252,9,0.03571428571428571,2,0.007905138339920948,Недостаточно данных
content,9,Все периоды,209,212,10,0.04716981132075472,6,0.02830188679245283,209,4,0.019138755980861243,2,0.009433962264150943,Недостаточно данных
content,8,Все периоды,183,186,9,0.04838709677419355,5,0.026881720430107527,184,4,0.021739130434782608,3,0.016129032258064516,Недостаточно данных
content,1 — Копия,Все периоды,94,95,22,0.23157894736842105,20,0.21052631578947367,93,19,0.20430107526881722,0,0.0,Недостаточно данных
content,7,Все периоды,58,58,8,0.13793103448275862,8,0.13793103448275862,53,3,0.05660377358490566,0,0.0,Недостаточно данных
content,Facebook_UA,Все периоды,47,50,49,0.98,49,0.98,1,0,0.0,1,0.02,Недостаточно данных
content,{{ad.name}},Все периоды,8,26,7,0.2692307692307692,3,0.11538461538461539,23,2,0.08695652173913043,2,0.07692307692307693,Недостаточно данных
content,120239979561640764,Все периоды,7,7,1,0.14285714285714285,1,0.14285714285714285,7,1,0.14285714285714285,0,0.0,Недостаточно данных
content,120239979561630764,Все периоды,5,5,1,0.2,1,0.2,5,1,0.2,0,0.0,Недостаточно данных
content,sag_organic,Все периоды,4,4,4,1.0,4,1.0,0,0,,0,0.0,Недостаточно данных
content,120239979561620764,Все периоды,3,3,0,0.0,0,0.0,3,0,0.0,0,0.0,Недостаточно данных
content,120239977513230764,Все периоды,1,1,0,0.0,0,0.0,1,0,0.0,0,0.0,Недостаточно данных
content,120240093969070764,Все периоды,1,1,1,1.0,1,1.0,0,0,,0,0.0,Недостаточно данных
content,230426,Все периоды,1,1,1,1.0,1,1.0,0,0,,0,0.0,Недостаточно данных
content,(none),Низкий объём · июнь–июль,453,665,373,0.5609022556390978,237,0.35639097744360904,68,16,0.23529411764705882,13,0.019548872180451128,Недостаточно данных
content,2,Низкий объём · июнь–июль,74,77,73,0.948051948051948,73,0.948051948051948,5,1,0.2,0,0.0,Недостаточно данных
content,link_in_bio,Низкий объём · июнь–июль,48,55,32,0.5818181818181818,27,0.4909090909090909,45,20,0.4444444444444444,0,0.0,Недостаточно данных
content,3,Низкий объём · июнь–июль,5,5,4,0.8,4,0.8,1,0,0.0,0,0.0,Недостаточно данных
content,4,Низкий объём · июнь–июль,3,3,3,1.0,3,1.0,0,0,,0,0.0,Недостаточно данных
content,6,Низкий объём · июнь–июль,1,3,0,0.0,0,0.0,3,0,0.0,0,0.0,Недостаточно данных
content,(none),Органика · март,800,1044,544,0.5210727969348659,446,0.4272030651340996,229,72,0.314410480349345,6,0.005747126436781609,Недостаточно данных
content,link_in_bio,Органика · март,58,67,30,0.44776119402985076,27,0.40298507462686567,62,22,0.3548387096774194,0,0.0,Недостаточно данных
content,{{ad.name}},Органика · март,3,8,2,0.25,0,0.0,8,0,0.0,0,0.0,Недостаточно данных
content,1 — Копия,Органика · март,7,7,2,0.2857142857142857,1,0.14285714285714285,7,1,0.14285714285714285,0,0.0,Недостаточно данных
content,sag_organic,Органика · март,4,4,4,1.0,4,1.0,0,0,,0,0.0,Недостаточно данных
